Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2022-12-30,2022-12-31,5296,DOMINO'S 5593,Dining,40.80,
2022-12-29,2022-12-29,5296,ELECTRONIC PAYMENT,Payment/Credit,,39.17
2022-12-28,2022-12-29,5296,HARRIS TEETER #0205,Merchandise,39.17,
2022-12-28,2022-12-28,5296,ELECTRONIC PAYMENT,Payment/Credit,,248.53
2022-12-23,2022-12-24,5296,HARRIS TEETER #0205,Merchandise,212.18,
2022-12-20,2022-12-20,5296,APPLE.COM/BILL,Internet,2.99,
2022-12-18,2022-12-19,5296,BENCHMARK PHYSICAL THE,Health Care,20.00,
2022-12-13,2022-12-13,5296,ELECTRONIC PAYMENT,Payment/Credit,,73.00
2022-12-09,2022-12-10,5296,DOMINO'S 5593,Dining,33.35,
2022-12-08,2022-12-09,5296,JOINT AND MUSCLE MEDIC,Health Care,40.00,
2022-12-06,2022-12-06,5296,ELECTRONIC PAYMENT,Payment/Credit,,190.74
2022-12-04,2022-12-05,5296,CVS/PHARMACY #07089,Health Care,65.21,
2022-12-04,2022-12-05,5296,HARRIS TEETER #0205,Merchandise,125.53,
2022-11-29,2022-11-29,5296,ELECTRONIC PAYMENT,Payment/Credit,,166.37
2022-11-29,2022-11-29,5296,ELECTRONIC PAYMENT,Payment/Credit,,153.98
2022-11-28,2022-11-29,5296,HARRIS TEETER #0205,Merchandise,153.98,
2022-11-24,2022-11-26,5296,PATEL BROS,Merchandise,166.37,
2022-11-22,2022-11-22,5296,ELECTRONIC PAYMENT,Payment/Credit,,37.99
2022-11-21,2022-11-21,5296,ELECTRONIC PAYMENT,Payment/Credit,,40.05
2022-11-21,2022-11-21,5296,ELECTRONIC PAYMENT,Payment/Credit,,22.91
2022-11-19,2022-11-21,5296,DOMINO'S 5593,Dining,42.00,
2022-11-20,2022-11-21,5296,APPLE.COM/BILL,Internet,2.99,
2022-11-18,2022-11-21,5296,CHICK-FIL-A  #00462,Dining,18.62,
2022-11-18,2022-11-19,5296,WALGREENS #15008,Health Care,4.29,
2022-11-17,2022-11-18,5296,SQ *KOOL RUNNINZ,Dining,46.06,
2022-11-17,2022-11-18,5296,UWAA,Other,50.00,
2022-11-17,2022-11-17,5296,ELECTRONIC PAYMENT,Payment/Credit,,50.00
2022-11-14,2022-11-14,5296,ELECTRONIC PAYMENT,Payment/Credit,,27.12
2022-11-10,2022-11-11,5296,SMALLCAKES BALLANTYNE,Dining,27.12,
2022-11-10,2022-11-10,5296,ELECTRONIC PAYMENT,Payment/Credit,,10.00
2022-11-08,2022-11-09,5296,BENCHMARK PHYSICAL THE,Health Care,10.00,
2022-11-03,2022-11-03,5296,ELECTRONIC PAYMENT,Payment/Credit,,100.25
2022-10-25,2022-10-25,5296,ELECTRONIC PAYMENT,Payment/Credit,,186.00
2022-10-21,2022-10-21,5296,ELECTRONIC PAYMENT,Payment/Credit,,250.00
2022-10-20,2022-10-20,5296,APPLE.COM/BILL,Internet,2.99,
2022-10-18,2022-10-18,5296,ELECTRONIC PAYMENT,Payment/Credit,,200.00
2022-10-13,2022-10-13,5296,ELECTRONIC PAYMENT,Payment/Credit,,400.00
2022-10-11,2022-10-13,5296,RENAUD DERY AVOCAT INC,Professional Services,995.00,
2022-10-12,2022-10-12,5296,ELECTRONIC PAYMENT,Payment/Credit,,149.08
2022-10-11,2022-10-12,5296,WALGREENS #15008,Health Care,2.96,
2022-10-09,2022-10-10,5296,DOMINO'S 5593,Dining,34.80,
2022-10-09,2022-10-10,5296,HARRIS TEETER #0205,Merchandise,34.99,
2022-10-08,2022-10-10,5296,DLR HEARTHSTONE,Dining,50.67,
2022-10-09,2022-10-10,5296,INK ST 1876,Merchandise,48.47,
2022-10-09,2022-10-10,5296,INK ST 1876,Merchandise,14.97,
2022-10-09,2022-10-10,5296,INK ST 1876,Merchandise,7.98,
2022-10-06,2022-10-06,5296,ELECTRONIC PAYMENT,Payment/Credit,,10.10
2022-10-04,2022-10-06,5296,DLR ICE CREAM CART,Dining,5.25,
2022-10-04,2022-10-06,5296,DLR CRAFTSMAN GRILL,Dining,4.85,
2022-10-03,2022-10-05,5296,DLR THE MARKET,Merchandise,35.87,
2022-10-03,2022-10-05,5296,DLR SHAWARMA PALACE,Dining,15.07,
2022-10-03,2022-10-05,5296,DLR CRAFTSMAN GRILL,Dining,4.85,
2022-10-03,2022-10-05,5296,DLR CRAFTSMAN GRILL,Dining,39.03,
2022-10-03,2022-10-05,5296,DLR CRAFTSMAN GRILL,Dining,5.33,
